course_name,race_name,off_time,horse_name,win_ppwap,rank
Ascot,Qipco British Champions Day Two-Year-Old Conditions Stakes (GBB Race),12:30:00,Gentle George (GB),17.5,11
Ascot,Qipco British Champions Day Two-Year-Old Conditions Stakes (GBB Race),12:30:00,NO NAME,19,13
Ascot,Qipco British Champions Day Two-Year-Old Conditions Stakes (GBB Race),12:30:00,Ardisia (IRE),19,13
Ascot,Qipco British Champions Day Two-Year-Old Conditions Stakes (GBB Race),12:30:00,Kansas (IRE),26,15
Ascot,Qipco British Champions Day Two-Year-Old Conditions Stakes (GBB Race),12:30:00,NO NAME,26,15
Ascot,Qipco British Champions Day Two-Year-Old Conditions Stakes (GBB Race),12:30:00,Super Soldier (IRE),40,17
Ascot,Qipco British Champions Day Two-Year-Old Conditions Stakes (GBB Race),12:30:00,NO NAME,40,17
Ascot,Qipco British Champions Day Two-Year-Old Conditions Stakes (GBB Race),12:30:00,NO NAME,75,19
Ascot,Qipco British Champions Day Two-Year-Old Conditions Stakes (GBB Race),12:30:00,Egoli (GB),75,19
Ascot,Qipco British Champions Day Two-Year-Old Conditions Stakes (GBB Race),12:30:00,Kamakameleon (GB),80,21
Ascot,Qipco British Champions Day Two-Year-Old Conditions Stakes (GBB Race),12:30:00,NO NAME,80,21
Ascot,Qipco British Champions Day Two-Year-Old Conditions Stakes (GBB Race),12:30:00,NO NAME,80,21
Ascot,Qipco British Champions Day Two-Year-Old Conditions Stakes (GBB Race),12:30:00,Watcha Snoop (IRE),80,21
Ascot,Qipco British Champions Day Two-Year-Old Conditions Stakes (GBB Race),12:30:00,Slay Queen (IRE),180,25
Ascot,Qipco British Champions Day Two-Year-Old Conditions Stakes (GBB Race),12:30:00,NO NAME,180,25
Limerick,Limerick Show Maiden Hurdle,12:45:00,Artic Chief,2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Whoswhointhezoo (IRE),2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Flash The Badge (IRE),2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Talk The Talk (FR),2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Splendid Fellow,2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Hesgonethatway,2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Royal Approval (USA),2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Louiescall (IRE),2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Call Tadgh (IRE),2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Brosna Town (IRE),2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Certamen (IRE),2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Maharajjah (IRE),2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Glin Road Boy (IRE),2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Starting Fifteen (GB),2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,NO NAME,2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,NO NAME,2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Hesgonethatway,2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,NO NAME,2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,NO NAME,2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,NO NAME,2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Splendid Fellow,2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Frankie's First,2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Artic Chief,2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,NO NAME,2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,NO NAME,2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,NO NAME,2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,NO NAME,2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,NO NAME,2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,NO NAME,2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Frankie's First,2,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,NO NAME,2.3,31
Limerick,Limerick Show Maiden Hurdle,12:45:00,Touch The Moon (IRE),2.3,31
Stratford,Diesel Technic 10 Year Anniversary 'National Hunt' Maiden Hurdle (GBB Race),12:50:00,NO NAME,1.15,1
Stratford,Diesel Technic 10 Year Anniversary 'National Hunt' Maiden Hurdle (GBB Race),12:50:00,Vesalius (IRE),1.15,1
