course_name,race,time,horse_name,price,trainer,rank
Catterick,William Hill Catterick Dash Handicap,12:20:00,Rosenpur (GER),9.80,J Candlish,21
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,Words Of Truth (GB),2.46,C Appleby,1
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,,2.46,C Appleby,1
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,Division (GB),6.40,W J Haggas,3
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,,6.40,W J Haggas,3
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,Siren Suit (GB),8.40,J & T Gosden,5
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,,8.40,J & T Gosden,5
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,Mission Central (IRE),11.00,A P O'Brien,7
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,,11.00,A P O'Brien,7
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,,15.50,A M Balding,9
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,Sir Albert (IRE),15.50,A M Balding,9
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,,17.50,M Appleby,11
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,Gentle George (GB),17.50,M Appleby,11
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,,19.00,H Palmer,13
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,Ardisia (IRE),19.00,H Palmer,13
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,,26.00,A P O'Brien,15
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,Kansas (IRE),26.00,A P O'Brien,15
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,Super Soldier (IRE),40.00,K R Burke,17
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,,40.00,K R Burke,17
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,,75.00,R M Beckett,19
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,Egoli (GB),75.00,R M Beckett,19
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,,80.00,H Palmer,21
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,Kamakameleon (GB),80.00,Dylan Cunha,21
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,,80.00,Dylan Cunha,21
Ascot,Qipco British Champions Day Two-Year-Old Cond,12:30:00,Watcha Snoop (IRE),80.00,H Palmer,21
Limerick,Limerick Show Maiden Hurdle,12:45:00,Talk The Talk (FR),2.00,J P O'Brien,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Splendid Fellow,2.00,H De Bromhead,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Frankie's First,2.00,J M Burke,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Artic Chief,2.00,L Lennon,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2.00,G Elliott,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2.00,D K Weld,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2.00,E Buckley,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2.00,L Young,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2.00,E M O'Sullivan,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2.00,E McNamara,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Frankie's First,2.00,J M Burke,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Artic Chief,2.00,L Lennon,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2.00,P Nolan,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2.00,S Ryan,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Hesgonethatway,2.00,P J Rothwell,1
